IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_CA_20201103_GEN_ALL_ALL_REG,USA_CA_20201103_GEN_ALL_ALL_VOTED,USA_CA_20201103_GEN_PRE_DEM_BIDEN,USA_CA_20201103_GEN_PRE_REP_TRUMP,USA_CA_20201103_GEN_PRE_OTH_ALL,USA_CA_20201103_GEN_PROP14_NO,USA_CA_20201103_GEN_PROP14_YES,USA_CA_20201103_GEN_PROP15_NO,USA_CA_20201103_GEN_PROP15_YES,USA_CA_20201103_GEN_PROP16_NO,USA_CA_20201103_GEN_PROP16_YES,USA_CA_20201103_GEN_PROP17_NO,USA_CA_20201103_GEN_PROP17_YES,USA_CA_20201103_GEN_PROP18_NO,USA_CA_20201103_GEN_PROP18_YES,USA_CA_20201103_GEN_PROP19_NO,USA_CA_20201103_GEN_PROP19_YES,USA_CA_20201103_GEN_PROP20_NO,USA_CA_20201103_GEN_PROP20_YES,USA_CA_20201103_GEN_PROP21_NO,USA_CA_20201103_GEN_PROP21_YES,USA_CA_20201103_GEN_PROP22_NO,USA_CA_20201103_GEN_PROP22_YES,USA_CA_20201103_GEN_PROP23_NO,USA_CA_20201103_GEN_PROP23_YES,USA_CA_20201103_GEN_PROP24_NO,USA_CA_20201103_GEN_PROP24_YES,USA_CA_20201103_GEN_PROP25_NO,USA_CA_20201103_GEN_PROP25_YES
0,_Los Angeles,_060376230004A,_6230004A,2276,1873,1181,620,45,901,843,997,793,1034,738,796,998,1073,725,920,840,1037,717,1101,673,697,1094,1124,678,751,996,1079,653
0,_Los Angeles,_060376230005A,_6230005A,979,765,513,232,13,361,339,345,378,394,320,302,418,404,317,331,376,428,275,411,298,270,456,416,288,240,473,410,288
0,_Los Angeles,_060376230005C,_6230005C,3,3,0,3,0,2,1,3,0,3,0,3,0,3,0,3,0,0,3,3,0,0,3,3,0,3,0,3,0
0,_Los Angeles,_060376230006C,_6230006C,502,386,260,107,8,174,191,177,195,196,169,132,236,220,152,171,190,234,130,195,172,162,208,209,160,141,212,205,157
0,_Los Angeles,_060376230007A,_6230007A,2352,1853,1285,492,48,754,946,843,916,929,801,676,1070,944,818,766,952,1071,633,911,836,739,1010,1002,740,644,1062,973,729
0,_Los Angeles,_060376230009A,_6230009A,583,478,311,146,6,182,245,230,217,230,200,183,255,271,170,160,274,249,190,223,226,138,314,296,152,166,268,243,189
0,_Los Angeles,_060376230010A,_6230010A,1942,1477,1017,384,46,603,763,658,742,715,658,533,849,755,636,626,748,848,505,680,692,533,857,810,577,473,876,728,611
0,_Los Angeles,_060376230011F,_6230011F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Los Angeles,_060376230011H,_6230011H,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Los Angeles,_060376230013A,_6230013A,2376,1907,1259,567,44,825,934,964,853,953,820,743,1064,1005,809,884,893,1099,653,1051,733,703,1087,1084,700,762,998,1026,724
0,_Los Angeles,_060376230021B,_6230021B,20,13,7,4,1,6,5,5,7,4,6,4,7,5,6,4,7,5,6,7,4,2,8,7,4,4,6,7,4
0,_Los Angeles,_060376230052B,_6230052B,23,19,9,10,0,12,7,12,7,17,2,8,11,10,9,15,4,11,8,10,9,11,8,6,13,6,13,12,7
0,_Los Angeles,_060376230052L,_6230052L,23,14,5,6,2,6,6,10,4,8,5,9,5,11,3,11,3,7,5,9,4,5,9,12,1,7,6,9,5
0,_Los Angeles,_060376230052M,_6230052M,10,7,2,5,0,3,2,2,3,3,2,3,2,3,2,2,3,3,2,3,2,1,4,5,0,2,3,3,2
0,_Los Angeles,_060376250002A,_6250002A,2742,2360,1775,490,35,1226,951,1209,1031,1084,1131,685,1559,992,1261,1390,811,1516,675,1400,813,1093,1133,1628,557,1095,1091,1085,1096
0,_Los Angeles,_060376250012A,_6250012A,2078,1588,1222,305,29,579,844,518,957,589,861,372,1119,570,929,675,758,1034,397,557,902,813,670,834,585,597,846,604,818
0,_Los Angeles,_060376250017A,_6250017A,2526,2207,1675,460,25,1156,898,1113,997,1006,1077,697,1404,915,1185,1297,779,1424,631,1387,705,1029,1056,1540,517,1023,1028,979,1074
0,_Los Angeles,_060376250020A,_6250020A,2409,1878,1434,380,30,697,1003,657,1104,743,966,451,1315,684,1082,803,874,1239,452,707,1030,886,873,1039,661,730,980,759,927
0,_Los Angeles,_060376250023B,_6250023B,2409,1845,1500,272,43,634,1060,544,1207,672,1039,400,1336,605,1137,832,863,1302,393,662,1070,987,752,973,738,716,976,709,958
0,_Los Angeles,_060376250025D,_6250025D,1910,1251,980,214,39,430,688,390,766,459,695,263,903,433,723,496,621,837,281,425,727,594,578,629,502,466,651,478,631
0,_Los Angeles,_060376250029A,_6250029A,2515,2125,1635,413,37,1032,940,895,1157,904,1087,605,1424,822,1219,1168,823,1411,569,1151,857,1069,945,1425,551,969,1008,930,1024
0,_Los Angeles,_060376250032A,_6250032A,2540,2096,1681,346,27,811,1084,729,1242,780,1151,466,1509,732,1234,968,935,1437,464,866,1077,1096,872,1235,666,872,1046,791,1104
0,_Los Angeles,_060376250034A,_6250034A,2351,1823,1492,275,23,697,947,546,1158,640,1033,361,1352,579,1122,835,816,1248,393,658,1013,952,749,996,667,740,937,700,953
0,_Los Angeles,_060376250036B,_6250036B,2135,1713,1332,307,37,686,873,601,1000,654,922,405,1202,639,972,790,762,1156,402,726,853,846,746,973,572,702,853,704,846
0,_Los Angeles,_060376250038A,_6250038A,2152,1583,1171,361,30,503,873,504,930,617,792,393,1034,580,854,592,779,919,443,553,863,657,789,787,597,591,806,614,749
0,_Los Angeles,_060376250041A,_6250041A,2377,1819,1474,277,40,665,999,533,1171,644,1036,350,1356,589,1120,756,888,1238,416,555,1126,910,791,951,706,700,946,720,918
0,_Los Angeles,_060376250046A,_6250046A,2400,1915,1584,274,26,687,1071,540,1271,617,1162,376,1424,582,1220,820,913,1343,413,658,1121,1056,755,1031,728,788,976,731,1012
0,_Los Angeles,_060376250052A,_6250052A,2261,1716,1320,320,40,653,905,574,1037,665,925,396,1210,608,1012,755,821,1127,435,624,972,911,700,879,689,698,883,718,823
0,_Los Angeles,_060376250060A,_6250060A,2029,1576,1261,247,31,546,884,472,1019,536,922,332,1171,531,953,626,823,1063,372,566,908,828,640,783,649,565,889,606,808
0,_Los Angeles,_060376250061B,_6250061B,1907,1385,1177,157,29,510,756,394,904,387,896,217,1087,396,900,559,701,973,295,482,811,729,574,689,582,584,679,534,721
0,_Los Angeles,_060376250067A,_6250067A,2100,1644,1419,168,35,604,903,444,1108,546,986,268,1279,486,1068,715,767,1188,299,594,933,913,637,931,560,640,860,574,916
0,_Los Angeles,_060376250069A,_6250069A,2609,2116,1789,262,34,890,1071,616,1381,684,1305,347,1678,587,1427,1011,950,1553,401,771,1205,1247,742,1161,787,878,1080,797,1145
0,_Los Angeles,_060376250071A,_6250071A,2239,1735,1479,201,33,612,946,478,1162,504,1099,285,1357,491,1151,732,850,1245,345,570,1035,972,665,914,678,721,866,648,935
0,_Los Angeles,_060376250072A,_6250072A,2501,2117,1750,301,32,842,1109,657,1344,714,1240,412,1598,700,1313,1003,945,1504,439,844,1131,1179,815,1244,701,903,1052,800,1137
0,_Los Angeles,_060376250078A,_6250078A,2175,1794,1492,236,36,787,831,601,1082,617,1032,347,1344,575,1114,880,747,1265,362,717,941,1018,650,1014,606,772,854,671,938
0,_Los Angeles,_060376250083B,_6250083B,2521,2087,1700,315,35,885,1033,660,1315,699,1256,434,1546,654,1333,1039,891,1468,457,831,1124,1148,834,1227,709,913,1011,802,1124
0,_Los Angeles,_060376250087A,_6250087A,2344,1945,1602,283,24,897,912,715,1135,699,1144,426,1436,639,1222,988,819,1398,427,869,961,1097,763,1209,602,848,968,806,1000
0,_Los Angeles,_060376250093A,_6250093A,2410,1953,1507,364,40,780,978,610,1208,668,1123,431,1396,665,1151,852,905,1344,418,759,1030,958,848,1163,602,799,974,739,1021
0,_Los Angeles,_060376250094A,_6250094A,2339,1896,1502,328,27,722,986,659,1116,726,1010,425,1347,690,1068,841,883,1296,418,729,1014,898,869,1056,642,761,962,728,965
0,_Los Angeles,_060376250098A,_6250098A,2284,1800,1494,240,31,677,938,514,1174,608,1057,294,1389,527,1151,809,815,1252,380,670,996,984,684,984,631,725,904,690,925
0,_Los Angeles,_060376250109A,_6250109A,2264,1886,1540,280,30,755,979,600,1190,675,1066,392,1391,628,1150,885,845,1296,436,776,987,1006,776,1110,625,764,974,703,1008
0,_Los Angeles,_060376250113B,_6250113B,2153,1681,1237,389,27,665,865,576,987,669,871,448,1120,633,935,724,796,1051,469,662,896,772,801,1014,504,710,835,683,816
0,_Los Angeles,_060376250120A,_6250120A,2258,1785,1542,182,32,612,1019,469,1216,508,1158,257,1442,512,1170,773,846,1296,328,523,1135,1044,630,929,703,693,938,629,990
0,_Los Angeles,_060376250121B,_6250121B,2296,1700,1327,313,33,633,904,522,1062,627,931,350,1239,558,1026,680,850,1146,389,549,1013,806,779,891,641,615,916,676,839
0,_Los Angeles,_060376250125A,_6250125A,2667,2227,1674,462,36,985,1059,907,1199,939,1134,588,1509,854,1244,1125,900,1416,617,1097,967,1097,990,1375,649,951,1096,942,1085
0,_Los Angeles,_060376250128C,_6250128C,69,63,51,9,1,39,20,34,26,34,26,23,37,27,34,42,11,39,20,41,18,33,25,42,14,32,27,31,25
0,_Los Angeles,_060376300002C,_6300002C,77,67,15,51,1,47,19,59,7,52,13,45,18,51,15,40,25,28,36,55,9,17,49,49,17,37,28,48,18
0,_Los Angeles,_060376300003A,_6300003A,79,76,13,59,3,58,15,64,9,67,7,61,12,64,9,58,12,18,55,62,9,12,60,66,8,57,15,67,6
0,_Los Angeles,_060376300004A,_6300004A,317,280,161,115,1,155,109,138,126,162,104,118,155,147,125,157,105,148,115,134,132,105,165,156,109,124,141,142,116
0,_Los Angeles,_060376300006A,_6300006A,331,255,133,111,9,118,121,144,99,162,78,117,131,154,94,103,139,137,106,148,100,102,145,155,89,96,151,142,98
0,_Los Angeles,_060376300006E,_6300006E,145,128,41,82,1,80,37,93,26,99,20,83,34,92,30,86,31,62,51,93,25,29,90,85,29,72,45,87,29
0,_Los Angeles,_060376300023A,_6300023A,2112,1871,1012,788,35,1009,757,1094,696,1175,596,957,829,1148,646,981,763,931,805,1210,547,617,1166,1199,556,849,898,1101,629
0,_Los Angeles,_060376300024A,_6300024A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Los Angeles,_060376300025A,_6300025A,38,34,13,21,0,19,12,22,12,23,11,16,16,20,14,16,15,18,13,21,12,7,26,25,9,20,12,23,10
0,_Los Angeles,_060376300030A,_6300030A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Los Angeles,_060376300099D,_6300099D,72,66,23,42,0,43,22,51,14,50,14,46,20,47,18,40,25,24,37,49,16,18,47,44,21,38,23,46,18
0,_Los Angeles,_060376300457A,_6300457A,47,39,10,28,1,23,15,29,8,30,6,24,14,28,10,19,17,14,23,28,7,8,28,21,16,17,20,28,8
0,_Los Angeles,_060376300460E,_6300460E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Los Angeles,_060376400001A,_6400001A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Los Angeles,_060376400002A,_6400002A,2548,2240,1448,690,55,1222,886,1172,989,1217,926,895,1266,1189,981,1211,911,1340,767,1268,860,916,1229,1465,641,1026,1092,1167,932
0,_Los Angeles,_060376400003A,_6400003A,2665,2403,1552,754,60,1303,970,1247,1060,1300,980,946,1356,1271,1031,1280,975,1424,812,1429,847,988,1287,1565,691,1108,1151,1211,1025
0,_Los Angeles,_060376400004C,_6400004C,144,123,85,35,1,68,50,73,48,70,48,64,58,77,42,65,50,65,50,86,31,44,75,81,35,63,55,64,55
0,_Los Angeles,_060376400010A,_6400010A,2774,2409,1557,724,66,1278,962,1263,1046,1308,964,954,1348,1284,1024,1279,959,1414,826,1318,936,979,1290,1533,711,1067,1149,1215,1000
0,_Los Angeles,_060376400011C,_6400011C,421,368,226,128,7,188,158,197,157,206,143,148,203,190,160,206,138,218,123,197,144,147,202,207,137,163,177,197,146
0,_Los Angeles,_060376450002A,_6450002A,2281,1659,1216,375,39,689,841,675,883,679,867,420,1147,705,877,665,856,974,544,730,825,680,886,893,659,562,953,784,723
0,_Los Angeles,_060376450003A,_6450003A,2584,2066,1460,522,49,808,1099,939,1029,955,972,680,1274,998,970,926,986,1253,658,1049,891,797,1154,1153,775,757,1156,976,934
0,_Los Angeles,_060376450005B,_6450005B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Los Angeles,_060376450006B,_6450006B,21,17,9,6,0,8,9,6,11,7,10,4,13,11,6,8,9,7,9,4,13,8,9,13,4,5,11,11,6
0,_Los Angeles,_060376450007A,_6450007A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Los Angeles,_060376450009A,_6450009A,2463,1908,1394,444,39,793,998,839,976,925,888,575,1255,948,885,818,951,1192,584,978,837,783,1038,1063,735,663,1110,910,856
0,_Los Angeles,_060376530001B,_6530001B,243,154,119,29,4,59,81,50,100,67,79,44,98,55,91,61,79,87,49,64,84,57,85,73,71,51,79,76,60
0,_Los Angeles,_060376530002A,_6530002A,1366,925,691,219,7,324,527,349,513,424,422,266,592,370,493,352,487,520,328,358,490,378,477,438,417,271,563,438,387
0,_Los Angeles,_060376530005A,_6530005A,892,595,459,105,22,222,332,207,355,296,261,189,369,249,312,241,307,357,198,255,297,265,297,261,284,200,346,266,272
0,_Los Angeles,_060376530041A,_6530041A,2112,1596,1107,427,33,664,795,747,760,765,709,575,919,781,718,710,758,920,539,790,698,631,855,877,614,562,891,839,593
0,_Los Angeles,_060376530043A,_6530043A,1898,1360,991,302,45,535,704,532,757,625,636,404,862,603,669,542,698,773,476,653,614,587,693,686,589,404,830,671,556
0,_Los Angeles,_060376530045A,_6530045A,2128,1616,1153,382,53,684,796,661,872,756,735,560,955,788,744,660,822,925,556,768,725,687,821,869,643,522,945,813,633
0,_Los Angeles,_060376530045B,_6530045B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Los Angeles,_060376550001A,_6550001A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Los Angeles,_060376550001B,_6550001B,2506,1891,1299,512,44,756,1023,863,962,925,869,711,1103,952,874,878,918,1047,728,960,855,769,1044,1027,775,709,1074,999,770
0,_Los Angeles,_060376550002A,_6550002A,1595,1090,849,178,41,409,612,439,609,453,587,330,709,447,600,480,559,688,351,476,564,474,569,523,520,365,660,548,469
0,_Los Angeles,_060376550003A,_6550003A,1960,1233,934,241,43,399,762,453,720,508,657,365,811,538,641,505,653,724,435,494,679,556,624,645,535,446,709,609,522
0,_Los Angeles,_060376550009B,_6550009B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Los Angeles,_060376550011B,_6550011B,2058,1331,1058,223,26,416,821,477,789,511,738,385,879,553,709,491,749,822,419,553,711,594,675,647,620,425,825,661,577
0,_Los Angeles,_060376550015B,_6550015B,2079,1502,1143,303,27,608,779,607,807,610,787,437,974,647,771,644,743,968,431,669,742,748,670,761,655,527,864,805,571
0,_Los Angeles,_060376550016A,_6550016A,1900,1280,1028,199,34,451,731,536,692,529,667,396,814,556,657,507,682,784,399,540,667,556,661,600,612,397,784,670,507
0,_Los Angeles,_060376550017A,_6550017A,2012,1299,1038,220,24,446,760,446,777,540,672,352,872,529,690,489,707,811,400,484,740,572,651,601,626,396,797,620,568
0,_Los Angeles,_060376550018B,_6550018B,1955,1292,1030,213,27,448,758,487,737,547,671,339,887,523,707,513,704,807,413,495,729,554,679,630,602,397,804,629,562
0,_Los Angeles,_060376550019B,_6550019B,1815,1212,943,229,25,468,687,473,691,523,636,371,798,516,649,532,624,749,403,492,671,562,603,594,574,435,719,632,510
0,_Los Angeles,_060376550019E,_6550019E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Los Angeles,_060376550021B,_6550021B,1899,1288,1033,201,34,463,760,522,720,543,683,386,848,557,682,522,700,786,435,534,702,571,671,620,618,469,744,668,536
0,_Los Angeles,_060376550022A,_6550022A,1814,1165,944,186,21,408,709,428,702,487,631,305,820,451,677,474,626,723,386,472,647,542,585,566,560,429,669,582,503
0,_Los Angeles,_060376550028B,_6550028B,1746,1272,929,293,19,520,675,542,679,545,664,435,779,603,620,562,645,797,409,603,619,542,680,665,560,445,764,707,486
0,_Los Angeles,_060376550029A,_6550029A,2040,1293,1058,192,31,431,767,438,790,508,706,367,848,546,676,507,700,782,421,464,768,550,679,619,610,397,818,679,527
0,_Los Angeles,_060376550030B,_6550030B,1784,1185,989,156,22,403,712,446,691,458,668,309,831,455,674,453,664,806,307,464,676,529,613,577,547,429,685,578,526
0,_Los Angeles,_060376550031A,_6550031A,1708,1157,905,207,25,449,618,428,658,468,610,347,729,470,613,450,615,709,360,442,643,526,565,516,568,396,670,589,461
0,_Los Angeles,_060376550036A,_6550036A,1879,1208,938,234,22,401,739,406,745,481,658,321,830,452,697,437,705,725,410,438,709,553,599,537,615,400,737,579,544
0,_Los Angeles,_060376550038A,_6550038A,4,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1
0,_Los Angeles,_060376550038B,_6550038B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Los Angeles,_060376550043A,_6550043A,1764,1231,970,210,34,442,683,445,720,517,635,371,792,520,649,535,610,758,379,529,630,565,599,605,549,401,733,631,502
0,_Los Angeles,_060376550047B,_6550047B,1912,1322,1006,251,35,470,751,511,730,571,680,425,826,580,675,542,682,838,406,568,677,645,598,661,578,478,749,687,539
0,_Los Angeles,_060376550048A,_6550048A,1877,1241,956,235,25,478,693,530,665,525,657,369,813,538,654,570,603,775,403,585,598,555,636,655,531,403,777,672,494
0,_Los Angeles,_060376550050A,_6550050A,2019,1393,1071,273,30,509,799,522,802,608,718,435,895,592,745,608,707,854,470,611,710,603,724,649,672,491,823,689,599
0,_Los Angeles,_060376550053A,_6550053A,1788,1310,985,281,27,532,712,564,701,607,659,442,824,640,626,568,678,849,384,621,647,612,652,696,570,446,793,702,535
0,_Los Angeles,_060376550061A,_6550061A,2027,1526,1101,360,34,600,824,649,816,731,714,517,939,754,708,690,749,949,486,709,732,658,790,758,684,539,888,798,619
0,_Los Angeles,_060376550062A,_6550062A,1705,1224,925,246,35,476,664,536,623,535,613,380,790,568,592,552,603,749,403,577,567,559,597,647,506,432,710,621,511
0,_Los Angeles,_060376550067A,_6550067A,1434,978,779,160,23,361,551,389,542,413,511,295,630,424,507,409,509,595,310,449,479,414,526,471,456,334,582,526,380
0,_Los Angeles,_060376550073A,_6550073A,361,233,174,46,11,75,138,78,140,82,128,64,155,89,132,65,151,129,83,74,142,84,136,94,125,66,150,128,83
0,_Los Angeles,_060376600001A,_6600001A,1676,1474,1138,272,34,648,738,514,906,597,797,403,1000,567,841,704,670,999,371,604,790,749,644,770,593,577,788,634,719
0,_Los Angeles,_060376600005A,_6600005A,1707,1510,1170,292,30,646,760,559,872,563,867,398,1044,569,877,754,646,1025,361,640,766,794,626,786,606,608,801,632,764
0,_Los Angeles,_060376600007A,_6600007A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Los Angeles,_060376600008A,_6600008A,2338,2114,1706,325,48,875,1090,614,1392,759,1232,489,1532,697,1319,1017,931,1450,518,676,1325,1130,869,1005,944,778,1186,837,1103
0,_Los Angeles,_060376600011A,_6600011A,1496,1316,1037,221,23,584,646,488,768,503,744,325,933,520,743,663,571,882,340,563,682,729,514,696,527,530,695,567,642
0,_Los Angeles,_060376600013A,_6600013A,2462,2242,1699,424,56,1118,998,868,1304,943,1199,655,1513,960,1201,1248,870,1519,582,1108,1036,1202,955,1345,748,920,1191,1013,1088
0,_Los Angeles,_060376600016A,_6600016A,2258,1986,1515,389,47,968,887,766,1138,848,1044,553,1362,807,1118,1032,826,1335,524,912,986,974,922,1144,723,779,1090,902,955
0,_Los Angeles,_060376600019A,_6600019A,1856,1634,1269,287,45,701,821,518,1037,594,946,391,1168,594,971,746,757,1097,418,603,944,904,644,828,677,643,879,722,792
0,_Los Angeles,_060376600021A,_6600021A,1870,1735,1399,281,25,799,836,610,1068,678,989,396,1276,658,1023,882,740,1211,426,760,904,964,700,917,707,713,917,737,892
0,_Los Angeles,_060376600026A,_6600026A,2033,1822,1313,424,37,908,788,842,897,964,773,663,1074,878,864,997,708,1069,611,1091,636,803,908,1097,600,672,1021,883,803
0,_Los Angeles,_060376650003A,_6650003A,551,422,286,123,6,144,237,207,188,217,164,152,237,202,191,185,193,241,141,209,178,154,236,231,161,156,222,215,162
0,_Los Angeles,_060376650005B,_6650005B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Los Angeles,_060376650006B,_6650006B,2,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
0,_Los Angeles,_060376650007A,_6650007A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Los Angeles,_060376650010A,_6650010A,165,121,81,37,3,34,77,63,51,63,50,51,62,57,56,61,51,68,43,64,48,47,67,71,41,45,65,64,49
0,_Los Angeles,_060376650010B,_6650010B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Los Angeles,_060376650011A,_6650011A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Los Angeles,_060376650030A,_6650030A,94,72,48,23,0,33,35,39,32,38,32,25,44,25,45,35,35,36,33,38,31,33,37,43,24,20,48,38,28
0,_Los Angeles,_060376650032A,_6650032A,1768,1296,874,376,18,560,603,590,622,649,549,510,690,632,576,595,587,733,437,655,538,549,645,678,518,453,726,672,478
0,_Los Angeles,_060376650032B,_6650032B,254,190,141,42,3,91,84,79,99,104,77,71,107,100,79,73,101,109,62,98,77,88,88,112,69,59,113,97,75
0,_Los Angeles,_060376650034A,_6650034A,1714,1282,825,410,24,495,659,602,594,656,526,500,678,645,552,636,536,700,466,682,504,516,674,663,512,439,729,655,481
0,_Los Angeles,_060376700001A,_6700001A,2342,1887,1142,676,41,891,886,989,828,1063,715,855,953,1095,723,939,836,989,779,1089,703,761,1049,1107,681,810,972,1105,669
0,_Los Angeles,_060376700004A,_6700004A,2394,1840,1204,552,46,827,884,912,858,1002,748,731,1036,1026,741,840,890,1021,715,938,806,711,1044,1105,643,740,984,1043,665
0,_Los Angeles,_060376700005A,_6700005A,2375,1895,1106,714,31,924,862,1041,776,1052,740,920,891,1090,721,988,793,953,820,1090,700,705,1106,1167,640,812,973,1096,676
0,_Los Angeles,_060376700007A,_6700007A,907,733,426,262,30,353,337,386,314,398,290,323,370,429,266,377,305,382,299,416,268,270,417,456,237,311,364,401,277
0,_Los Angeles,_060376700009A,_6700009A,784,616,387,213,9,278,292,338,248,358,224,278,308,347,238,284,287,351,225,360,223,238,348,383,191,235,330,386,179
0,_Los Angeles,_060376700012A,_6700012A,1497,1226,665,510,21,635,515,711,462,714,438,593,583,747,427,648,491,592,543,725,419,403,768,811,356,572,575,715,412
0,_Los Angeles,_060376700019A,_6700019A,2100,1373,979,326,38,517,776,540,777,621,670,436,867,660,652,558,722,789,491,623,679,596,715,668,634,487,793,679,587
0,_Los Angeles,_060376700020A,_6700020A,2510,2104,1108,908,38,1171,825,1288,752,1346,657,1090,927,1336,696,1134,830,994,963,1370,630,692,1337,1369,636,1051,923,1339,645
0,_Los Angeles,_060376700022A,_6700022A,2559,1885,1257,539,44,791,981,846,975,956,835,751,1064,953,864,879,894,1052,719,909,878,740,1067,988,806,763,1017,996,765
0,_Los Angeles,_060376700030B,_6700030B,2456,1917,1177,649,56,867,915,973,849,1052,745,830,984,1079,738,910,882,1008,774,1002,808,750,1061,1061,746,769,1012,1072,709
0,_Los Angeles,_060376700040A,_6700040A,779,534,410,103,13,198,293,230,270,245,251,166,346,241,266,224,271,311,182,231,267,237,276,278,235,176,317,275,218
0,_Los Angeles,_060376700042A,_6700042A,2532,1979,992,893,50,1054,799,1186,704,1175,678,1025,861,1247,640,1047,803,896,943,1218,650,634,1246,1317,551,919,930,1264,590
0,_Los Angeles,_060376700057B,_6700057B,2475,1967,1227,665,42,932,927,1023,875,1054,808,868,1026,1126,773,970,903,1065,785,1069,815,807,1083,1140,731,840,1001,1060,786
0,_Los Angeles,_060376700059A,_6700059A,2267,1793,1145,582,40,818,864,877,849,947,751,748,956,995,720,855,829,950,721,973,724,735,995,1069,626,711,964,979,699
0,_Los Angeles,_060376700062A,_6700062A,791,596,425,143,19,238,318,293,272,286,273,241,325,321,242,251,301,339,219,315,252,213,350,374,196,230,321,303,247
0,_Los Angeles,_060376700064A,_6700064A,2112,1603,1064,474,40,717,784,835,701,849,655,632,901,865,675,703,791,897,597,827,687,621,913,932,590,603,898,887,603
0,_Los Angeles,_060376700068A,_6700068A,2187,1619,1050,503,36,743,756,820,734,869,655,656,895,899,661,769,758,858,658,868,669,635,911,947,589,651,864,938,574
0,_Los Angeles,_060376700070A,_6700070A,2103,1530,974,478,40,679,744,765,692,797,634,621,821,839,612,737,690,829,593,774,664,635,820,868,582,616,786,823,568
0,_Los Angeles,_060376700071C,_6700071C,2259,1587,1105,413,41,626,877,709,814,788,709,537,974,770,745,755,728,924,542,721,779,699,803,827,680,621,847,804,660
0,_Los Angeles,_060376750022A,_6750022A,84,20,17,3,0,7,11,4,13,3,14,1,17,4,14,9,8,14,4,7,11,11,7,8,9,6,10,4,14
0,_Los Angeles,_060376750022C,_6750022C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Los Angeles,_060376820004C,_6820004C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Los Angeles,_060376820005A,_6820005A,2771,2457,1408,964,37,1292,1027,1409,946,1497,837,1181,1168,1482,876,1293,992,1293,1005,1512,801,828,1519,1561,760,989,1318,1424,864
0,_Los Angeles,_060376820007A,_6820007A,2924,2551,1298,1155,41,1414,997,1563,869,1648,767,1341,1099,1579,876,1382,996,1267,1104,1713,677,804,1620,1707,687,1194,1176,1563,786
0,_Los Angeles,_060376820009A,_6820009A,2995,2528,1470,970,49,1208,1153,1232,1176,1388,977,1110,1276,1404,1012,1170,1144,1374,966,1325,1048,920,1473,1495,870,1025,1309,1353,956
0,_Los Angeles,_060376820015A,_6820015A,1284,1132,652,439,20,621,444,667,415,709,359,556,526,639,444,647,404,576,483,746,318,373,703,755,310,503,562,687,357
